distX;distY;myGunHeading;velocityX;velocityY;hit
-257.03;-17.54;105.00;0.00;0.00;0
-258.33;-12.71;110.00;0.00;0.00;0
-260.04;-8.02;115.00;0.00;0.00;0
-267.52;4.94;130.00;0.00;0.00;1
-262.15;-3.48;120.00;0.00;0.00;0
-270.73;8.77;135.00;0.00;0.00;0
-264.65;0.85;125.00;0.00;0.00;0
-361.33;-6.23;60.00;0.00;0.00;0
-363.83;-10.56;65.00;0.00;0.00;0
-365.94;-15.09;70.00;0.00;0.00;0
-367.65;-19.79;75.00;0.00;0.00;0
-370.25;-39.52;95.00;0.00;0.00;1
-369.81;-44.50;100.00;0.00;0.00;1
-368.95;-24.62;80.00;0.00;0.00;0
-369.81;-29.54;85.00;0.00;0.00;0
-370.25;-34.52;90.00;0.00;0.00;0
-368.95;-49.43;105.00;0.00;0.00;0
-367.65;-54.25;110.00;0.00;0.00;0
-365.94;-58.95;115.00;0.00;0.00;0
-363.83;-63.48;120.00;0.00;0.00;0
-358.46;-71.91;130.00;0.00;0.00;1
-355.25;-75.74;135.00;0.00;0.00;0
-361.33;-67.81;125.00;0.00;0.00;0
-244.97;-23.51;40.00;0.00;0.00;0
-241.14;-20.29;45.00;0.00;0.00;0
-237.60;-16.76;50.00;0.00;0.00;0
-234.39;-12.93;55.00;0.00;0.00;0
-231.52;-8.83;60.00;0.00;0.00;0
-229.02;-4.50;65.00;0.00;0.00;0
80.00;80.00;0.00;0.00;0.00;0
80.00;75.00;5.00;0.00;0.00;0
80.00;-160.00;0.00;0.00;0.00;0
74.90;-212.94;140.00;0.00;0.00;0
63.41;-213.02;145.00;-4.60;-1.95;0
61.67;-210.88;150.00;-4.60;-1.95;0
59.57;-208.50;155.00;-4.60;-1.95;0
46.98;-207.88;160.00;-9.21;-3.91;0
39.49;-207.09;165.00;0.00;0.00;0
31.83;-201.21;170.00;-4.48;3.27;0
24.35;-190.57;180.00;-4.48;-2.23;1
28.22;-198.52;175.00;-4.48;-2.23;0
20.04;-182.61;185.00;-4.31;2.97;1
11.38;-183.32;190.00;-4.31;2.97;1
10.51;-172.90;195.00;-8.22;-5.70;0
9.22;-168.07;200.00;0.00;5.50;0
7.51;-163.37;205.00;0.00;0.00;0
73.68;333.56;20.00;-3.00;9.53;0
77.00;329.53;15.00;-1.30;9.91;0
79.13;324.92;10.00;0.00;0.00;0
80.00;320.00;5.00;0.00;0.00;0
423.61;146.80;265.00;0.00;0.00;0
365.90;132.96;290.00;-9.43;-3.34;1
409.20;143.90;270.00;0.00;0.00;0
399.49;142.23;275.00;-9.43;-3.34;0
389.80;140.13;280.00;-4.71;-1.67;0
375.44;135.92;285.00;-4.71;-1.67;0
356.49;129.59;295.00;-4.71;-1.67;0
-31.24;315.75;355.00;5.00;-8.66;1
342.53;124.14;300.00;-4.71;-1.67;0
-26.68;302.11;0.00;5.00;-8.66;1
295.24;98.18;325.00;-4.71;-1.67;0
303.17;103.68;320.00;-9.43;-3.34;0
282.95;90.75;330.00;-4.71;-1.67;0
-45.26;369.38;335.00;-4.61;8.86;0
311.42;108.88;315.00;-4.71;-1.67;0
333.49;119.97;305.00;-9.43;-3.34;0
-21.68;288.45;5.00;5.00;-8.66;1
-42.37;356.19;340.00;0.00;0.00;0
324.68;115.43;310.00;-4.71;-1.67;0
-39.08;342.83;345.00;5.00;-8.66;0
-16.24;274.81;10.00;5.00;-8.66;1
-35.38;329.34;350.00;5.00;-8.66;0
-4.88;241.31;35.00;-5.37;8.43;0
-0.63;238.27;30.00;5.00;-8.66;0
-10.38;261.23;15.00;5.00;-8.66;0
-9.93;243.29;40.00;-6.75;7.37;0
2.63;234.38;25.00;5.00;-8.66;0
-15.58;244.08;45.00;-7.93;6.08;0
-4.08;247.74;20.00;5.00;-8.66;0
-21.58;243.55;50.00;-8.86;4.61;0
-27.65;241.64;55.00;-9.53;3.00;0
-33.54;238.33;60.00;-9.91;1.30;0
-38.96;233.67;65.00;-9.98;-0.44;0
-43.66;227.73;70.00;-9.75;-2.16;0
-47.38;220.65;75.00;-9.23;-3.82;0
-49.92;212.61;80.00;-8.43;-5.37;0
-51.08;203.82;85.00;-7.37;-6.75;0
-50.71;194.52;90.00;-6.08;-7.93;0
-48.71;184.99;95.00;-4.61;-8.86;0
-45.04;175.52;100.00;-3.00;-9.53;0
-40.11;176.39;105.00;-1.30;-9.91;0
178.55;-30.67;165.00;-9.43;-3.34;0
170.42;-29.19;170.00;0.00;0.00;0
166.58;-25.94;175.00;-9.42;-3.35;0
162.30;-22.64;180.00;-4.71;-1.68;0
152.90;-21.03;185.00;-4.71;-1.68;0
147.77;-17.77;190.00;-9.41;-3.39;0
142.21;-14.57;195.00;-4.69;-1.72;0
131.57;-13.32;200.00;-4.69;-1.72;0
125.24;-10.54;205.00;-9.34;-3.57;0
118.51;-7.92;210.00;-4.62;-1.92;0
107.02;-7.97;215.00;-4.62;-1.92;0
104.16;-3.88;220.00;-8.99;-4.38;0
92.58;-5.53;225.00;0.00;0.00;0
89.04;-1.99;230.00;-8.36;-5.48;0
85.21;1.22;235.00;0.00;0.00;0
74.52;-3.43;240.00;0.00;0.00;0
70.19;-0.93;245.00;-6.59;-7.52;0
60.96;2.90;255.00;0.00;0.00;1
65.66;1.19;250.00;0.00;0.00;0
55.43;-0.76;260.00;0.00;0.00;1
49.80;0.66;265.00;-0.70;-4.95;1
44.82;1.09;270.00;-0.70;0.55;1
42.98;6.75;280.00;0.00;0.00;1
38.72;17.67;295.00;2.66;6.24;1
24.33;36.77;315.00;0.00;0.00;1
14.63;42.36;325.00;0.00;0.00;1
4.03;45.89;335.00;0.00;0.00;1
-7.03;47.35;345.00;0.00;0.00;1
-18.01;46.02;355.00;0.00;0.00;1
21.86;292.32;0.00;0.00;0.00;0
31.71;289.06;5.00;0.00;0.00;0
41.99;285.82;10.00;9.85;1.74;0
75.41;276.57;25.00;9.85;1.74;0
52.71;282.63;15.00;9.85;1.74;0
63.85;279.54;20.00;9.85;1.74;0
380.98;4.64;240.00;0.00;0.00;0
385.31;2.14;245.00;0.00;0.00;0
409.28;-4.28;270.00;0.00;0.00;1
419.26;-3.84;280.00;0.00;0.00;1
389.85;0.03;250.00;0.00;0.00;0
394.54;-1.68;255.00;0.00;0.00;0
399.37;-2.97;260.00;0.00;0.00;0
404.30;-3.84;265.00;0.00;0.00;0
414.28;-4.28;275.00;0.00;0.00;0
424.18;-2.97;285.00;0.00;0.00;0
399.92;110.52;310.00;-4.02;-2.98;0
